gene_id	transcript_id	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EKVX_LUNG	HOP62_LUNG	HOP92_LUNG	NCIH226_LUNG	NCIH23_LUNG	NCIH322_LUNG	NCIH460_LUNG	NCIH522_LUNG	HCT116_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	HT29_LARGE_INTESTINE	KM12_LARGE_INTESTINE	SW620_LARGE_INTESTINE	SF268_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF539_CENTRAL_NERVOUS_SYSTEM	SNB75_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	LOXIMVI_SKIN	MALME3M_SKIN	MDAMB435S_SKIN	SKMEL24_SKIN	SKMEL28_SKIN	SKMEL5_SKIN	UACC62_SKIN	IGROV1_OVARY	NIHOVCAR3_OVARY	OVCAR4_OVARY	OVCAR8_OVARY	SKOV3_OVARY	X786O_KIDNEY	ACHN_KIDNEY	UO31_KIDNEY	PC3_PROSTATE	MCF7_BREAST	MDAMB231_BREAST	MDAMB468_BREAST	BT549_BREAST	T47D_BREAST
ENSG00000171124.8	ENST00000589918.1	0	0	0.05	0.26	0	0	0	0	0.02	8.25	0.03	0	0.09	0.52	0.47	0.16	0	0	0	0	0.06	0	0	0.15	0	0	0	1.9	0	0	0.12	2.06	0	0.08	0	0	0	0.63	0.04	0	4.85	0	0
ENSG00000171155.7	ENST00000304661.5	10.38	9.51	22.78	25.11	24.01	38.67	27.92	21.12	19.24	17.56	39.58	21.09	18.87	40.2	24.06	20.85	38.28	31.16	32.89	63.1	52.45	52.49	0.1	32.03	34.94	58.4	28.22	21	25.55	24.96	23.34	19.98	15.39	24.48	29.35	19.19	32.07	34.82	40.91	33.84	27.94	119.82	22.73
ENSG00000171155.7	ENST00000371313.2	0.48	0.14	0.33	0.15	0	0.11	0.52	0.05	0.23	0	0.09	0.07	0	0.14	0	0.12	0.04	0.1	0	0.19	0.07	0.05	0	0	0	0.06	0	0.04	0	0	0.23	0.16	0	0.16	0.5	0	0	0.06	0.08	0.16	0.1	0.07	0
ENSG00000171298.8	ENST00000302262.3	0	0	0.12	0.3	1.52	3.37	2.24	0.49	0.76	0.26	0.45	2.6	0.81	2.54	0	0.92	5.01	0.95	2.81	0.43	2.3	1.34	0.21	1.33	0.78	1.43	0.63	2.52	0.35	0.76	1.54	0.91	1.09	0.59	0	4.07	2.57	1.26	1.33	0.16	1.92	1.03	1.12
ENSG00000171298.8	ENST00000390015.3	0.56	3.64	2.91	25.14	42.83	44.43	46.74	20.15	9.77	7.96	13.26	59.51	23.95	39.32	1.4	13.52	19.91	19.47	44.95	11.48	28.3	56	2.14	35.3	9.79	14.11	15.45	50.28	26.83	12.81	17.95	47.29	11.57	32.43	1.93	21.58	26.73	24.88	51.36	11.92	45.48	1.7	56.01
ENSG00000171310.6	ENST00000303694.5	4.17	5.88	1.39	51.76	4.11	3.9	4.28	1.76	1.83	10.69	0.46	1.88	3.42	0.11	0	0.05	1.78	1.81	2.77	1.79	7.13	3.57	16.06	13.18	2.05	20.16	33.14	4.13	10.33	0.68	1.92	0.53	1.74	5.22	9	2.75	3.71	2.76	0.18	13.15	3.61	4.31	1.22
ENSG00000171310.6	ENST00000549260.1	5.61	6.91	2.04	62.5	3.99	4.81	3.34	2.72	2.42	14.03	0.69	2.21	4.53	0.12	0.18	0.1	2.49	1.78	4.99	2.01	7.99	2.92	18.3	13.88	3.49	18.14	36.97	5.2	11.2	0.8	1.51	0.77	2.92	6.08	12.43	3.67	2.27	4.55	0.14	17.93	4.21	6.58	2.41
ENSG00000171451.13	ENST00000310045.7	0.05	0.03	0.06	0.04	0.85	0.69	4.36	2.36	2.96	2.85	0.83	0.03	0	0	0.15	0.01	0.38	2.68	4	3.06	3.46	1.3	0.83	0.16	0.14	2.39	0.13	0.56	0.14	1.02	3.93	0.18	1.23	2.72	1.97	0.24	1.54	6.96	0.06	2.48	0.03	18.51	0.02
ENSG00000172269.12	ENST00000354202.4	3.11	12.43	14.92	13.7	14.54	6.41	8.11	7.4	10.8	17.89	11.71	20.95	8.28	7.84	15.09	4	8.26	99.87	13.53	9.72	11.46	15.94	21.8	6.13	8.36	14.05	5.54	6.55	12.6	16.46	7.23	15.98	7.93	16.44	14.89	11	12.54	24.48	18.56	17.91	26.96	16.08	36.27
ENSG00000172269.12	ENST00000409993.2	0.14	0.64	0.17	0.26	0.09	0.12	0.05	0.1	0.21	0.44	0.18	0.47	0.05	0.12	0.5	0.12	0.3	0.89	0.15	0.15	0.16	0.17	0.19	0.09	0.66	0.12	0.26	0.13	0.12	0.17	0.08	0.3	0.1	0.09	0.02	0.16	0.12	0.25	0.49	0.31	0.45	0.08	1.17
ENSG00000172318.4	ENST00000392690.3	0	1.36	0.02	0.27	0.01	0.02	0.1	0.02	0.05	0.16	0.02	0.05	0.08	0	0.01	0.02	0	0.01	0.02	0.14	0.24	0.04	1.33	3.35	0.21	0.69	0.53	0.12	1.6	9.14	3.8	0.01	0.07	0.02	0.22	0.12	0.32	0.26	0.01	0.01	0.03	0.91	0.01
ENSG00000172339.9	ENST00000370205.5	0.88	0.51	0.51	1.04	2.03	0.87	1.14	1.88	0.86	0.98	1.66	0.79	1.55	2.2	1.59	0.91	1.35	1.67	1.79	1.68	1.92	2.1	0.96	1.73	1.38	1.45	1.34	1.79	1.08	0.5	0.69	1.01	2.67	1.44	2.03	1.36	0.91	2.04	0.88	1.6	2.11	1.23	1.07
ENSG00000172461.6	ENST00000302103.5	0	0.01	0	0	0	0.04	0	0	0.02	0.08	0.06	0.06	0	0.02	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0.01	0.13	1.77	0.01	0.72	0.44	0.01	0.14	0	0.01	0.06	0	5.32	0.02	0.26
ENSG00000172728.11	ENST00000327671.5	1.11	3.13	0.46	4.12	1.91	1.17	0.64	1.02	1.57	0.86	1.79	3.08	7.69	5.9	0.67	3.12	2.04	1.29	1.34	2.53	1.95	2.12	1.82	2.79	4.06	1.83	1.46	1.09	1.36	4.48	2.6	0.56	2.37	3.75	0.93	2.01	2.95	0.86	0.64	2.46	1.73	4.16	1.96
ENSG00000172728.11	ENST00000518672.1	0.04	0	0	0.13	0.2	0.02	0.17	0	0	0	0	0	0.5	0.22	0	0	0.13	0.05	0	0	0	0.1	0.45	0.31	0.16	0	0.39	0	0.26	0.37	0.11	0.17	0	0	0	0.24	0.61	0.23	0.11	0	0.17	0	0.16
ENSG00000172728.11	ENST00000524021.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0.07	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172987.8	ENST00000370546.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172987.8	ENST00000370549.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0.25	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.57
ENSG00000172987.8	ENST00000370552.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0.31	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
ENSG00000173083.10	ENST00000311412.5	0.08	0.08	0.6	0.02	2.09	1.45	3.38	1.14	1.84	2.68	2.75	0.87	5.95	10.61	0.82	3.17	0.05	0.8	6.51	4.8	5.4	3.54	0.67	0.71	2.84	1.36	1.97	1.87	0.34	4.17	3.6	1.67	3.04	6.24	0.49	1.84	0.76	2.71	0.85	3.97	3.62	22.51	0.24
ENSG00000173083.10	ENST00000405413.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173083.10	ENST00000512196.1	0	0	0.39	0.01	0	0.18	0	0	0	0	0.08	0	0.66	0.78	0	0	0	0	0	0.13	0.34	0	0	0	0.87	0.51	0.49	0.33	0.4	0	0	0	0	1.18	0.06	0	0.32	0	0.06	0	0	1.98	0
ENSG00000173083.10	ENST00000513463.1	0.05	0	0.54	0	0.04	0	1.36	0	0.31	1.61	0.25	0.12	0.41	3.12	0	0.58	0	0.4	1.17	2.83	1.86	0.16	0	0.28	0.84	0.89	0.9	0.2	0.73	2.1	0.02	0.72	0.44	1.06	0.12	0	0	0.85	0.17	0.77	0.1	2.23	0
ENSG00000173540.8	ENST00000308375.6	9.01	8.64	13.6	3.45	5.38	9.83	4.04	5.83	3.27	11.45	4.81	5.05	4.11	6.11	4.89	8.25	4.99	11.78	7.39	10.48	9.52	9.39	1.43	9.11	7.24	3.76	6.29	5.04	5.83	7.22	5.97	5.65	7.38	5.79	3.96	3.72	7.68	11.85	3.92	11.43	6.39	8.63	9.72
ENSG00000173540.8	ENST00000308388.6	5.58	5.52	15.27	3.26	12.32	9.34	7.99	15.2	6.83	10.64	12.07	5.51	13.88	25.36	8.59	7.9	7.92	37.32	12.36	13.83	11.84	11.08	12.8	25.11	5.86	11.7	21.93	16.81	10.13	16.78	11.53	9.9	20.96	15.11	6.4	10.61	16.45	18.49	18.05	14.59	10.87	23.24	11.09
ENSG00000173540.8	ENST00000480687.1	0.33	2.93	3.03	1.62	1.86	3.71	1.1	3.23	0.47	1.55	1.3	3.1	1.17	0.93	1.98	4.15	2.24	2.42	2.34	2.68	3.76	5.1	0.79	2.22	0.43	0.45	0	2.57	0.57	0	2.57	1.31	2.06	1.82	0.69	1.17	1.67	2.45	1.56	2.1	1.86	1.35	3.62
ENSG00000173597.4	ENST00000310613.3	0	0.01	0	0.1	0.01	0.06	0	0.05	0	0.02	0	0.01	0	0	0.05	0.07	0.01	0	0.02	0	0.01	0.01	0.01	0	0	0.07	0.01	0	0	0	0.01	0.04	0	0.01	0	0	0	0.02	0	0.01	0.04	0.01	0
ENSG00000173610.7	ENST00000286604.4	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173610.7	ENST00000503640.1	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
